t,rt,cond,sub,a,r,acc,s,block
75,702,1,44,2,1,1,1,1
76,NaN,1,44,1,0,NaN,3,1
77,NaN,1,44,1,1,1,2,1
78,485,1,44,2,1,1,1,1
79,574,1,44,2,0,1,1,1
80,NaN,1,44,1,1,1,2,1
81,677,1,44,2,0,NaN,3,1
82,NaN,1,44,1,1,1,2,1
83,861,1,44,2,0,NaN,3,1
84,574,1,44,2,1,1,1,1
85,710,1,44,2,0,NaN,3,1
86,NaN,1,44,1,0,1,2,1
87,502,1,44,2,1,1,1,1
88,495,1,44,2,1,1,1,1
89,NaN,1,44,1,1,NaN,3,1
90,NaN,1,44,1,0,1,2,1
91,NaN,1,44,1,1,1,2,1
92,411,1,44,2,0,1,1,1
93,NaN,1,44,1,1,NaN,3,1
94,590,1,44,2,0,1,1,1
95,NaN,1,44,1,1,1,2,1
96,NaN,1,44,1,0,NaN,3,1
97,388,1,44,2,0,1,1,1
98,NaN,1,44,1,0,NaN,3,1
99,NaN,1,44,1,1,1,2,1
100,NaN,1,44,1,1,NaN,3,1
101,NaN,1,44,1,0,1,2,1
102,647,1,44,2,1,1,1,1
103,NaN,1,44,1,1,1,2,1
104,452,1,44,2,1,1,1,1
105,NaN,1,44,1,0,NaN,3,1
106,989,1,44,2,1,1,1,1
107,NaN,1,44,1,1,NaN,3,1
108,NaN,1,44,1,1,1,2,1
109,483,1,44,2,0,1,1,1
110,NaN,1,44,1,0,1,2,1
111,NaN,1,44,1,0,NaN,3,1
112,NaN,1,44,1,1,NaN,3,1
113,NaN,1,44,1,1,1,2,1
114,633,1,44,2,1,1,1,1
115,702,1,44,2,1,1,1,1
116,NaN,1,44,1,1,1,2,1
117,405,1,44,2,1,NaN,3,1
118,863,1,44,2,1,NaN,3,1
119,703,1,44,2,1,1,1,1
120,NaN,1,44,1,1,1,2,1
1,NaN,2,45,1,1,0,1,1
2,1116,2,45,2,0,0,2,1
3,861,2,45,2,1,1,3,1
4,532,2,45,2,1,1,3,1
5,NaN,2,45,1,1,1,2,1
6,NaN,2,45,1,1,0,1,1
7,NaN,2,45,1,1,0,1,1
8,NaN,2,45,1,1,1,2,1
9,619,2,45,2,1,1,3,1
10,NaN,2,45,1,0,1,2,1
11,NaN,2,45,1,0,0,1,1
12,443,2,45,2,1,1,3,1
13,545,2,45,2,0,1,3,1
14,676,2,45,2,1,1,1,1
15,416,2,45,2,0,0,2,1
16,750,2,45,2,0,0,2,1
17,550,2,45,2,1,1,3,1
18,449,2,45,2,1,1,1,1
19,NaN,2,45,1,1,1,2,1
20,497,2,45,2,1,1,3,1
21,1043,2,45,2,1,1,1,1
22,NaN,2,45,1,0,1,2,1
23,636,2,45,2,1,1,1,1
24,450,2,45,2,1,1,3,1
25,735,2,45,2,0,0,2,1
26,543,2,45,2,1,1,1,1
27,454,2,45,2,1,1,3,1
28,398,2,45,2,1,1,1,1
29,NaN,2,45,1,1,1,2,1
30,642,2,45,2,0,1,3,1
31,799,2,45,2,1,1,3,1
32,691,2,45,2,1,1,1,1
33,NaN,2,45,1,1,1,2,1
34,627,2,45,2,1,1,1,1
35,974,2,45,2,1,1,3,1
36,NaN,2,45,1,0,1,2,1
37,NaN,2,45,1,1,1,2,1
38,746,2,45,2,1,1,1,1
39,479,2,45,2,1,1,3,1
40,751,2,45,2,0,1,1,1
41,1442,2,45,2,1,0,2,1
42,1567,2,45,2,1,1,3,1
43,NaN,2,45,1,1,1,2,1
44,1537,2,45,2,1,1,1,1
45,588,2,45,2,1,1,3,1
46,1297,2,45,2,1,1,1,1
47,NaN,2,45,1,1,1,2,1
48,659,2,45,2,0,1,3,1
49,NaN,2,45,1,0,0,3,1
50,780,2,45,2,1,0,2,1
51,1805,2,45,2,1,1,1,1
52,588,2,45,2,1,1,3,1
53,NaN,2,45,1,0,0,1,1
54,958,2,45,2,0,0,2,1
55,655,2,45,2,0,0,2,1
56,588,2,45,2,1,1,3,1
57,551,2,45,2,1,1,1,1
58,576,2,45,2,0,1,3,1
59,560,2,45,2,0,0,2,1
60,548,2,45,2,1,1,1,1
61,697,2,45,2,1,1,1,1
62,781,2,45,2,0,0,2,1
63,466,2,45,2,0,1,3,1
64,882,2,45,2,1,0,2,1
65,738,2,45,2,1,1,1,1
66,509,2,45,2,1,1,3,1
67,419,2,45,2,1,1,1,1
68,517,2,45,2,1,0,2,1
69,588,2,45,2,1,1,3,1
70,465,2,45,2,1,1,3,1
71,924,2,45,2,1,1,1,1
72,486,2,45,2,1,0,2,1
73,865,2,45,2,0,0,2,1
74,450,2,45,2,0,1,3,1
75,563,2,45,2,1,1,1,1
76,524,2,45,2,1,1,3,1
77,499,2,45,2,0,1,1,1
78,1277,2,45,2,0,0,2,1
79,478,2,45,2,1,1,1,1
80,624,2,45,2,1,1,3,1
81,412,2,45,2,0,0,2,1
82,608,2,45,2,1,1,3,1
83,NaN,2,45,1,1,1,2,1
84,617,2,45,2,0,1,1,1
85,1059,2,45,2,1,1,1,1
86,595,2,45,2,1,1,3,1
87,NaN,2,45,1,1,1,2,1
88,637,2,45,2,0,1,1,1
89,610,2,45,2,0,0,2,1
90,753,2,45,2,0,1,3,1
91,624,2,45,2,0,1,3,1
92,673,2,45,2,0,0,2,1
93,527,2,45,2,1,1,1,1
94,NaN,2,45,1,0,1,2,1
95,589,2,45,2,1,1,1,1
96,412,2,45,2,1,1,3,1
97,NaN,2,45,1,1,1,2,1
98,612,2,45,2,1,1,3,1
99,859,2,45,2,1,1,1,1
100,893,2,45,2,1,0,2,1
101,903,2,45,2,1,1,1,1
102,914,2,45,2,1,1,3,1
103,607,2,45,2,1,1,3,1
104,515,2,45,2,0,1,1,1
105,NaN,2,45,1,0,1,2,1
106,NaN,2,45,1,1,1,2,1
107,535,2,45,2,1,1,3,1
108,909,2,45,2,0,1,1,1
109,725,2,45,2,1,1,3,1
110,1200,2,45,2,0,0,2,1
111,639,2,45,2,1,1,1,1
112,NaN,2,45,1,1,1,2,1
113,627,2,45,2,1,1,3,1
114,947,2,45,2,1,1,1,1
115,778,2,45,2,0,1,3,1
116,805,2,45,2,0,1,1,1
117,608,2,45,2,0,0,2,1
118,NaN,2,45,1,1,1,2,1
119,NaN,2,45,1,0,0,1,1
120,741,2,45,2,1,1,3,1
1,1012,2,46,2,0,0,2,1
2,297,2,46,2,1,1,3,1
3,265,2,46,2,1,1,1,1
4,NaN,2,46,1,1,1,2,1
5,NaN,2,46,1,0,0,1,1
6,422,2,46,2,1,1,3,1
7,286,2,46,2,0,0,2,1
8,261,2,46,2,0,1,1,1
9,589,2,46,2,1,1,3,1
10,NaN,2,46,1,1,1,2,1
11,NaN,2,46,1,0,0,1,1
12,388,2,46,2,1,1,3,1
13,457,2,46,2,1,0,2,1
14,667,2,46,2,1,1,1,1
15,NaN,2,46,1,1,0,3,1
16,NaN,2,46,1,0,0,1,1
17,398,2,46,2,1,0,2,1
18,348,2,46,2,1,1,3,1
19,377,2,46,2,0,0,2,1
20,NaN,2,46,1,0,0,3,1
21,612,2,46,2,0,1,1,1
22,607,2,46,2,0,0,2,1
23,NaN,2,46,1,1,0,1,1
24,1268,2,46,2,1,1,3,1
25,595,2,46,2,0,1,1,1
26,NaN,2,46,1,0,1,2,1
27,1813,2,46,2,1,1,3,1
28,757,2,46,2,1,1,1,1
29,328,2,46,2,1,1,3,1
30,NaN,2,46,1,1,1,2,1
31,NaN,2,46,1,0,0,3,1
32,484,2,46,2,0,1,1,1
33,298,2,46,2,0,0,2,1
34,NaN,2,46,1,1,1,2,1
35,538,2,46,2,1,1,1,1
36,647,2,46,2,1,1,3,1
37,NaN,2,46,1,1,1,2,1
38,1308,2,46,2,1,1,3,1
39,608,2,46,2,1,1,1,1
40,578,2,46,2,1,1,3,1
41,NaN,2,46,1,0,0,1,1
42,NaN,2,46,1,1,1,2,1
43,513,2,46,2,1,1,3,1
44,558,2,46,2,1,1,1,1
45,NaN,2,46,1,1,1,2,1
46,540,2,46,2,1,0,2,1
47,NaN,2,46,1,0,0,3,1
48,1329,2,46,2,0,1,1,1
49,1036,2,46,2,0,0,2,1
50,NaN,2,46,1,0,0,3,1
51,1835,2,46,2,1,1,1,1
52,767,2,46,2,0,0,2,1
53,378,2,46,2,1,1,3,1
54,378,2,46,2,1,1,1,1
55,417,2,46,2,0,1,1,1
56,NaN,2,46,1,1,1,2,1
57,NaN,2,46,1,0,0,3,1
58,763,2,46,2,1,0,2,1
59,617,2,46,2,1,1,3,1
60,426,2,46,2,1,1,1,1
61,702,2,46,2,1,1,3,1
62,358,2,46,2,0,0,2,1
63,419,2,46,2,1,1,1,1
64,517,2,46,2,0,1,3,1
65,NaN,2,46,1,1,1,2,1
66,NaN,2,46,1,0,0,1,1
67,913,2,46,2,0,1,3,1
68,1091,2,46,2,1,0,2,1
69,338,2,46,2,1,1,1,1
70,537,2,46,2,1,1,3,1
71,300,2,46,2,1,1,1,1
72,298,2,46,2,1,0,2,1
73,487,2,46,2,1,1,1,1
74,340,2,46,2,0,1,3,1
75,NaN,2,46,1,1,1,2,1
76,NaN,2,46,1,0,0,3,1
77,501,2,46,2,0,0,2,1
78,1095,2,46,2,1,1,1,1
79,397,2,46,2,1,1,1,1
80,409,2,46,2,1,0,2,1
81,336,2,46,2,1,1,3,1
82,654,2,46,2,1,1,3,1
83,NaN,2,46,1,1,1,2,1
84,NaN,2,46,1,0,0,1,1
85,369,2,46,2,1,0,2,1
86,808,2,46,2,1,1,1,1
87,366,2,46,2,1,1,3,1
88,368,2,46,2,0,1,1,1
89,NaN,2,46,1,1,1,2,1
90,NaN,2,46,1,0,0,3,1
91,764,2,46,2,0,0,2,1
92,1005,2,46,2,1,1,1,1
93,417,2,46,2,0,1,3,1
94,537,2,46,2,1,1,3,1
95,250,2,46,2,0,1,1,1
96,365,2,46,2,0,0,2,1
97,309,2,46,2,1,1,3,1
98,359,2,46,2,0,0,2,1
99,NaN,2,46,1,0,0,1,1
100,472,2,46,2,0,1,1,1
101,1058,2,46,2,1,1,3,1
102,584,2,46,2,0,0,2,1
103,NaN,2,46,1,1,1,2,1
104,506,2,46,2,1,1,1,1
105,588,2,46,2,1,1,3,1
106,577,2,46,2,1,1,3,1
107,NaN,2,46,1,1,1,2,1
108,NaN,2,46,1,1,0,1,1
109,502,2,46,2,0,0,2,1
110,398,2,46,2,1,1,1,1
111,470,2,46,2,1,1,3,1
112,409,2,46,2,0,1,3,1
113,NaN,2,46,1,1,1,2,1
114,464,2,46,2,1,1,1,1
115,388,2,46,2,0,0,2,1
116,NaN,2,46,1,0,0,1,1
117,372,2,46,2,1,1,3,1
118,288,2,46,2,1,1,3,1
119,277,2,46,2,0,0,2,1
120,446,2,46,2,1,1,1,1
1,1230,2,47,2,0,0,2,1
2,955,2,47,2,1,1,3,1
3,NaN,2,47,1,0,0,1,1
4,952,2,47,2,1,1,3,1
5,NaN,2,47,1,1,1,2,1
6,NaN,2,47,1,0,0,1,1
7,977,2,47,2,1,1,3,1
8,NaN,2,47,1,1,0,1,1
9,NaN,2,47,1,1,1,2,1
10,1291,2,47,2,1,1,3,1
11,NaN,2,47,1,0,0,1,1
12,1327,2,47,2,1,0,2,1
13,NaN,2,47,1,0,0,1,1
14,747,2,47,2,0,0,2,1
15,543,2,47,2,1,1,3,1
16,NaN,2,47,1,1,0,3,1
17,NaN,2,47,1,0,0,1,1
18,1891,2,47,2,0,0,2,1
19,NaN,2,47,1,0,0,1,1
20,NaN,2,47,1,1,1,2,1
21,1296,2,47,2,1,1,3,1
22,NaN,2,47,1,0,0,1,1
23,1556,2,47,2,0,0,2,1
24,775,2,47,2,0,1,3,1
25,1597,2,47,2,0,1,1,1
26,1122,2,47,2,0,1,3,1
27,1318,2,47,2,0,0,2,1
28,NaN,2,47,1,1,1,2,1
29,695,2,47,2,0,1,3,1
30,NaN,2,47,1,0,0,1,1
31,NaN,2,47,1,0,1,2,1
32,NaN,2,47,1,0,0,1,1
33,1459,2,47,2,1,1,3,1
34,778,2,47,2,1,1,3,1
35,1426,2,47,2,0,0,2,1
36,NaN,2,47,1,0,0,1,1
37,NaN,2,47,1,0,1,2,1
38,NaN,2,47,1,1,0,1,1
39,906,2,47,2,1,1,3,1
40,1904,2,47,2,1,0,2,1
41,NaN,2,47,1,0,0,1,1
42,NaN,2,47,1,0,0,3,1
43,NaN,2,47,1,0,0,1,1
44,NaN,2,47,1,1,1,2,1
45,810,2,47,2,1,1,3,1
46,1245,2,47,2,0,0,2,1
47,NaN,2,47,1,0,0,1,1
48,727,2,47,2,1,1,3,1
49,1131,2,47,2,1,1,3,1
50,NaN,2,47,1,0,0,1,1
51,NaN,2,47,1,1,1,2,1
52,NaN,2,47,1,0,0,1,1
53,NaN,2,47,1,1,1,2,1
54,861,2,47,2,1,1,3,1
55,904,2,47,2,0,0,2,1
56,NaN,2,47,1,0,0,1,1
57,468,2,47,2,1,1,3,1
58,NaN,2,47,1,1,0,1,1
59,1061,2,47,2,1,1,3,1
60,600,2,47,2,0,0,2,1
61,NaN,2,47,1,0,0,1,1
62,563,2,47,2,0,1,3,1
63,452,2,47,2,0,0,2,1
64,NaN,2,47,1,1,0,1,1
65,475,2,47,2,1,0,2,1
66,759,2,47,2,1,1,3,1
67,NaN,2,47,1,0,0,1,1
68,NaN,2,47,1,0,0,3,1
69,NaN,2,47,1,1,1,2,1
70,NaN,2,47,1,0,0,1,1
71,1234,2,47,2,0,1,3,1
72,1451,2,47,2,0,0,2,1
73,NaN,2,47,1,0,0,1,1
74,NaN,2,47,1,1,1,2,1
75,1183,2,47,2,1,1,3,1
76,NaN,2,47,1,0,0,1,1
77,NaN,2,47,1,1,1,2,1
78,454,2,47,2,0,1,3,1
79,696,2,47,2,1,1,3,1
80,NaN,2,47,1,0,0,1,1
81,NaN,2,47,1,1,1,2,1
82,1708,2,47,2,1,1,1,1
83,367,2,47,2,1,1,3,1
84,951,2,47,2,1,0,2,1
85,866,2,47,2,0,0,2,1
86,1929,2,47,2,1,1,3,1
87,NaN,2,47,1,0,0,1,1
88,NaN,2,47,1,1,0,1,1
89,564,2,47,2,1,1,3,1
90,803,2,47,2,0,0,2,1
91,NaN,2,47,1,1,0,1,1
92,1437,2,47,2,1,0,2,1
93,568,2,47,2,1,1,3,1
94,NaN,2,47,1,1,1,2,1
95,NaN,2,47,1,0,0,1,1
96,NaN,2,47,1,0,0,3,1
97,1538,2,47,2,1,1,3,1
98,1171,2,47,2,1,1,1,1
99,754,2,47,2,1,0,2,1
100,NaN,2,47,1,0,0,3,1
101,NaN,2,47,1,0,1,2,1
102,NaN,2,47,1,0,0,1,1
103,746,2,47,2,0,0,2,1
104,538,2,47,2,1,1,3,1
105,NaN,2,47,1,1,0,1,1
106,NaN,2,47,1,1,0,1,1
107,1306,2,47,2,1,0,2,1
108,NaN,2,47,1,0,0,3,1
109,NaN,2,47,1,0,0,1,1
110,NaN,2,47,1,0,0,3,1
111,539,2,47,2,1,0,2,1
112,969,2,47,2,1,0,2,1
113,803,2,47,2,0,1,3,1
114,NaN,2,47,1,0,0,1,1
115,NaN,2,47,1,1,1,2,1
116,726,2,47,2,1,1,1,1
117,778,2,47,2,1,1,3,1
118,NaN,2,47,1,0,0,3,1
119,NaN,2,47,1,1,1,2,1
120,994,2,47,2,0,1,1,1
1,1125,2,48,2,1,0,2,1
2,446,2,48,2,1,1,3,1
3,NaN,2,48,1,0,0,1,1
4,411,2,48,2,1,1,3,1
5,NaN,2,48,1,0,0,1,1
6,574,2,48,2,0,0,2,1
7,NaN,2,48,1,0,0,1,1
8,740,2,48,2,0,0,2,1
9,614,2,48,2,1,1,3,1
10,563,2,48,2,0,0,2,1
11,633,2,48,2,0,1,3,1
12,NaN,2,48,1,0,0,1,1
13,398,2,48,2,0,0,2,1
14,575,2,48,2,1,1,3,1
15,NaN,2,48,1,0,0,1,1
16,NaN,2,48,1,1,0,1,1
17,478,2,48,2,1,0,2,1
18,1008,2,48,2,0,1,3,1
19,930,2,48,2,0,0,2,1
20,523,2,48,2,1,1,3,1
21,NaN,2,48,1,0,0,1,1
22,347,2,48,2,1,1,3,1
23,NaN,2,48,1,0,0,1,1
24,NaN,2,48,1,0,1,2,1
25,799,2,48,2,0,0,2,1
26,NaN,2,48,1,0,0,1,1
27,388,2,48,2,1,1,3,1
28,777,2,48,2,0,1,3,1
29,843,2,48,2,0,0,2,1
30,NaN,2,48,1,0,0,1,1
31,519,2,48,2,0,1,3,1
32,812,2,48,2,0,0,2,1
33,NaN,2,48,1,0,0,1,1
34,1282,2,48,2,0,0,2,1
35,806,2,48,2,1,1,3,1
36,NaN,2,48,1,1,0,1,1
37,NaN,2,48,1,1,1,2,1
38,366,2,48,2,1,1,3,1
39,NaN,2,48,1,1,0,1,1
40,NaN,2,48,1,0,0,1,1
41,430,2,48,2,1,1,3,1
42,1395,2,48,2,0,0,2,1
43,NaN,2,48,1,0,0,1,1
44,349,2,48,2,1,1,3,1
45,NaN,2,48,1,1,1,2,1
46,NaN,2,48,1,1,1,2,1
47,365,2,48,2,1,1,3,1
48,NaN,2,48,1,0,0,1,1
49,385,2,48,2,1,1,3,1
50,NaN,2,48,1,0,0,1,1
51,NaN,2,48,1,1,1,2,1
52,528,2,48,2,0,0,2,1
53,NaN,2,48,1,0,0,1,1
54,442,2,48,2,0,1,3,1
55,438,2,48,2,1,1,3,1
56,1987,2,48,2,0,0,2,1
57,NaN,2,48,1,0,0,1,1
58,464,2,48,2,1,1,3,1
59,NaN,2,48,1,0,0,1,1
60,530,2,48,2,0,0,2,1
61,NaN,2,48,1,0,0,1,1
62,530,2,48,2,1,1,3,1
63,1188,2,48,2,0,0,2,1
64,1283,2,48,2,1,1,3,1
65,NaN,2,48,1,0,0,1,1
66,895,2,48,2,0,0,2,1
67,637,2,48,2,1,1,3,1
68,NaN,2,48,1,1,1,2,1
69,NaN,2,48,1,1,0,1,1
70,850,2,48,2,0,0,2,1
71,676,2,48,2,0,1,3,1
72,NaN,2,48,1,0,0,1,1
73,582,2,48,2,0,0,2,1
74,NaN,2,48,1,0,0,1,1
75,500,2,48,2,0,1,3,1
76,555,2,48,2,1,0,2,1
77,637,2,48,2,1,1,3,1
78,NaN,2,48,1,1,0,1,1
79,434,2,48,2,1,1,3,1
80,NaN,2,48,1,0,0,1,1
81,567,2,48,2,0,0,2,1
82,667,2,48,2,0,0,2,1
83,NaN,2,48,1,0,0,1,1
84,445,2,48,2,1,1,3,1
85,NaN,2,48,1,1,1,2,1
86,880,2,48,2,1,1,1,1
87,505,2,48,2,0,1,3,1
88,NaN,2,48,1,1,1,2,1
89,476,2,48,2,1,1,1,1
90,757,2,48,2,1,1,3,1
91,510,2,48,2,1,1,3,1
92,NaN,2,48,1,1,0,1,1
93,480,2,48,2,1,0,2,1
94,667,2,48,2,1,0,2,1
95,641,2,48,2,1,1,3,1
96,677,2,48,2,0,1,1,1
97,862,2,48,2,0,1,1,1
98,NaN,2,48,1,0,1,2,1
99,595,2,48,2,1,1,3,1
100,497,2,48,2,1,1,3,1
101,NaN,2,48,1,0,0,1,1
102,473,2,48,2,1,0,2,1
103,595,2,48,2,0,1,3,1
104,541,2,48,2,0,0,2,1
105,578,2,48,2,1,1,1,1
106,NaN,2,48,1,0,0,1,1
107,676,2,48,2,1,1,3,1
108,975,2,48,2,1,0,2,1
109,564,2,48,2,1,1,1,1
110,402,2,48,2,0,0,2,1
111,1172,2,48,2,0,1,3,1
112,1378,2,48,2,1,1,3,1
113,586,2,48,2,0,1,1,1
114,1471,2,48,2,0,0,2,1
115,1258,2,48,2,1,1,1,1
116,456,2,48,2,0,1,3,1
117,1344,2,48,2,0,0,2,1
118,NaN,2,48,1,0,0,1,1
119,407,2,48,2,0,0,2,1
120,410,2,48,2,0,1,3,1
1,549,1,49,2,0,NaN,3,1
2,321,1,49,2,1,1,1,1
3,282,1,49,2,0,0,2,1
4,301,1,49,2,1,1,1,1
5,1535,1,49,2,1,0,2,1
6,NaN,1,49,1,0,NaN,3,1
7,NaN,1,49,1,1,0,1,1
8,NaN,1,49,1,1,1,2,1
9,NaN,1,49,1,1,NaN,3,1
10,1309,1,49,2,0,1,1,1
11,417,1,49,2,1,0,2,1
12,307,1,49,2,1,NaN,3,1
13,317,1,49,2,1,NaN,3,1
14,967,1,49,2,1,1,1,1
15,521,1,49,2,0,0,2,1
16,428,1,49,2,0,0,2,1
17,381,1,49,2,1,1,1,1
18,114,1,49,2,0,NaN,3,1
19,764,1,49,2,0,NaN,3,1
20,279,1,49,2,1,1,1,1
21,469,1,49,2,0,0,2,1
22,863,1,49,2,1,1,1,1
23,305,1,49,2,1,0,2,1
24,556,1,49,2,0,NaN,3,1
25,NaN,1,49,1,0,0,1,1
26,498,1,49,2,0,0,2,1
27,481,1,49,2,1,NaN,3,1
28,803,1,49,2,0,NaN,3,1
29,831,1,49,2,0,0,2,1
30,1114,1,49,2,0,1,1,1
31,NaN,1,49,1,0,NaN,3,1
32,NaN,1,49,1,0,0,1,1
33,NaN,1,49,1,1,1,2,1
34,NaN,1,49,1,0,0,1,1
35,649,1,49,2,1,NaN,3,1
36,1041,1,49,2,1,0,2,1
37,508,1,49,2,1,NaN,3,1
38,471,1,49,2,0,0,2,1
39,1033,1,49,2,0,1,1,1
40,388,1,49,2,1,1,1,1
41,190,1,49,2,1,NaN,3,1
42,243,1,49,2,1,0,2,1
43,403,1,49,2,0,0,2,1
44,942,1,49,2,0,1,1,1
45,394,1,49,2,1,NaN,3,1
46,427,1,49,2,0,0,2,1
47,349,1,49,2,1,1,1,1
48,313,1,49,2,0,NaN,3,1
49,450,1,49,2,0,1,1,1
50,367,1,49,2,0,0,2,1
51,473,1,49,2,0,NaN,3,1
52,546,1,49,2,0,0,2,1
53,375,1,49,2,1,1,1,1
54,NaN,1,49,1,1,NaN,3,1
55,541,1,49,2,0,0,2,1
56,NaN,1,49,1,1,NaN,3,1
57,483,1,49,2,1,1,1,1
58,NaN,1,49,1,1,1,2,1
59,419,1,49,2,1,NaN,3,1
60,861,1,49,2,1,1,1,1
61,1379,1,49,2,0,0,2,1
62,427,1,49,2,1,NaN,3,1
63,338,1,49,2,1,1,1,1
64,388,1,49,2,1,1,1,1
65,450,1,49,2,1,NaN,3,1
66,340,1,49,2,0,0,2,1
67,365,1,49,2,1,0,2,1
68,634,1,49,2,1,1,1,1
69,1595,1,49,2,1,NaN,3,1
70,1014,1,49,2,0,0,2,1
71,634,1,49,2,1,NaN,3,1
72,891,1,49,2,1,1,1,1
73,446,1,49,2,1,0,2,1
74,320,1,49,2,1,1,1,1
75,307,1,49,2,0,NaN,3,1
76,292,1,49,2,1,NaN,3,1
77,656,1,49,2,0,0,2,1
78,249,1,49,2,1,1,1,1
79,525,1,49,2,0,NaN,3,1
80,406,1,49,2,1,1,1,1
81,313,1,49,2,1,0,2,1
82,452,1,49,2,1,0,2,1
83,567,1,49,2,1,1,1,1
84,342,1,49,2,0,NaN,3,1
85,474,1,49,2,0,0,2,1
86,210,1,49,2,0,NaN,3,1
87,329,1,49,2,1,1,1,1
88,428,1,49,2,0,0,2,1
89,318,1,49,2,1,1,1,1
90,369,1,49,2,0,NaN,3,1
91,980,1,49,2,1,NaN,3,1
92,397,1,49,2,0,0,2,1
93,929,1,49,2,1,1,1,1
94,307,1,49,2,1,NaN,3,1
95,95,1,49,2,0,0,2,1
96,211,1,49,2,1,1,1,1
97,315,1,49,2,1,NaN,3,1
98,518,1,49,2,0,0,2,1
99,752,1,49,2,0,1,1,1
100,451,1,49,2,1,1,1,1
101,293,1,49,2,1,NaN,3,1
102,315,1,49,2,1,0,2,1
103,653,1,49,2,0,NaN,3,1
104,277,1,49,2,0,0,2,1
105,330,1,49,2,1,1,1,1
106,748,1,49,2,0,NaN,3,1
107,500,1,49,2,1,0,2,1
108,202,1,49,2,1,1,1,1
109,531,1,49,2,1,1,1,1
110,261,1,49,2,0,NaN,3,1
111,1425,1,49,2,1,0,2,1
112,1875,1,49,2,0,NaN,3,1
113,185,1,49,2,1,1,1,1
114,1364,1,49,2,1,0,2,1
115,530,1,49,2,0,NaN,3,1
116,606,1,49,2,1,1,1,1
117,267,1,49,2,1,0,2,1
118,NaN,1,49,1,0,NaN,3,1
119,NaN,1,49,1,1,1,2,1
120,462,1,49,2,1,1,1,1
1,1135,2,50,2,1,1,1,1
2,NaN,2,50,1,0,1,2,1
3,473,2,50,2,1,1,3,1
4,904,2,50,2,1,1,1,1
5,755,2,50,2,1,1,3,1
6,NaN,2,50,1,1,1,2,1
7,617,2,50,2,1,0,2,1
8,823,2,50,2,0,1,1,1
9,1850,2,50,2,1,1,3,1
10,NaN,2,50,1,1,0,1,1
11,793,2,50,2,0,0,2,1
12,1093,2,50,2,1,1,3,1
13,956,2,50,2,1,1,3,1
14,NaN,2,50,1,1,1,2,1
15,NaN,2,50,1,1,0,1,1
16,485,2,50,2,1,1,3,1
17,1931,2,50,2,0,0,2,1
18,NaN,2,50,1,0,0,1,1
19,1961,2,50,2,0,1,3,1
20,NaN,2,50,1,0,0,1,1
21,680,2,50,2,0,0,2,1
22,1397,2,50,2,1,1,3,1
23,1676,2,50,2,1,1,1,1
24,NaN,2,50,1,1,1,2,1
25,1632,2,50,2,1,1,1,1
26,NaN,2,50,1,0,1,2,1
27,NaN,2,50,1,0,0,3,1
28,1210,2,50,2,1,1,1,1
29,NaN,2,50,1,1,1,2,1
30,953,2,50,2,1,1,3,1
31,NaN,2,50,1,1,1,2,1
32,1064,2,50,2,0,1,1,1
33,649,2,50,2,1,1,3,1
34,825,2,50,2,1,0,2,1
35,NaN,2,50,1,0,0,3,1
36,1012,2,50,2,1,1,1,1
37,NaN,2,50,1,1,1,2,1
38,1485,2,50,2,1,1,1,1
39,NaN,2,50,1,0,0,3,1
40,426,2,50,2,1,1,3,1
41,1129,2,50,2,0,0,2,1
42,884,2,50,2,1,1,1,1
43,NaN,2,50,1,1,1,2,1
44,523,2,50,2,1,1,3,1
45,745,2,50,2,1,1,1,1
46,486,2,50,2,1,1,1,1
47,NaN,2,50,1,0,0,3,1
48,427,2,50,2,0,0,2,1
49,1017,2,50,2,0,1,1,1
50,597,2,50,2,0,0,2,1
51,987,2,50,2,1,1,3,1
52,665,2,50,2,1,1,1,1
53,1269,2,50,2,1,1,3,1
54,1990,2,50,2,0,0,2,1
55,1013,2,50,2,1,1,1,1
56,NaN,2,50,1,1,1,2,1
57,929,2,50,2,1,1,3,1
58,NaN,2,50,1,1,1,2,1
59,673,2,50,2,1,1,1,1
60,924,2,50,2,1,1,3,1
61,NaN,2,50,1,0,0,1,1
62,NaN,2,50,1,1,0,3,1
63,1034,2,50,2,0,0,2,1
64,1823,2,50,2,1,1,1,1
65,NaN,2,50,1,1,1,2,1
66,737,2,50,2,1,1,3,1
67,1557,2,50,2,0,1,3,1
68,1796,2,50,2,0,0,2,1
69,1780,2,50,2,0,1,1,1
70,NaN,2,50,1,1,1,2,1
71,NaN,2,50,1,0,0,1,1
72,813,2,50,2,1,1,3,1
73,1005,2,50,2,0,0,2,1
74,550,2,50,2,1,1,1,1
75,NaN,2,50,1,0,0,3,1
76,NaN,2,50,1,0,0,3,1
77,557,2,50,2,1,0,2,1
78,1107,2,50,2,1,1,1,1
79,1452,2,50,2,0,0,2,1
80,NaN,2,50,1,0,0,3,1
81,473,2,50,2,1,1,1,1
82,1333,2,50,2,0,0,2,1
83,1317,2,50,2,1,1,3,1
84,NaN,2,50,1,0,0,1,1
85,425,2,50,2,1,1,1,1
86,1675,2,50,2,1,0,2,1
87,399,2,50,2,1,1,3,1
88,NaN,2,50,1,0,0,1,1
89,1733,2,50,2,1,0,2,1
90,NaN,2,50,1,0,0,3,1
91,761,2,50,2,0,0,2,1
92,NaN,2,50,1,0,0,3,1
93,853,2,50,2,0,1,1,1
