t,rt,cond,sub,a,r,acc,s,block
57,641,1,2,2,0,0,2,1
58,NaN,1,2,1,0,0,1,1
59,NaN,1,2,1,0,NaN,3,1
60,899,1,2,2,1,0,2,1
61,NaN,1,2,1,1,1,2,1
62,901,1,2,2,1,1,1,1
63,491,1,2,2,0,NaN,3,1
64,941,1,2,2,0,0,2,1
65,655,1,2,2,1,1,1,1
66,NaN,1,2,1,1,NaN,3,1
67,NaN,1,2,1,1,NaN,3,1
68,1169,1,2,2,0,0,2,1
69,1147,1,2,2,1,1,1,1
70,NaN,1,2,1,0,NaN,3,1
71,NaN,1,2,1,1,1,2,1
72,1270,1,2,2,1,1,1,1
73,NaN,1,2,1,1,1,2,1
74,1006,1,2,2,0,NaN,3,1
75,544,1,2,2,1,1,1,1
76,643,1,2,2,0,1,1,1
77,NaN,1,2,1,0,NaN,3,1
78,1622,1,2,2,0,0,2,1
79,NaN,1,2,1,1,1,2,1
80,746,1,2,2,0,1,1,1
81,NaN,1,2,1,0,NaN,3,1
82,722,1,2,2,1,0,2,1
83,1323,1,2,2,0,NaN,3,1
84,561,1,2,2,1,1,1,1
85,502,1,2,2,1,1,1,1
86,NaN,1,2,1,0,NaN,3,1
87,865,1,2,2,1,0,2,1
88,NaN,1,2,1,0,NaN,3,1
89,521,1,2,2,1,0,2,1
90,643,1,2,2,0,1,1,1
91,NaN,1,2,1,0,0,1,1
92,731,1,2,2,1,NaN,3,1
93,NaN,1,2,1,1,1,2,1
94,NaN,1,2,1,0,0,1,1
95,1482,1,2,2,0,NaN,3,1
96,NaN,1,2,1,1,1,2,1
97,807,1,2,2,1,1,1,1
98,NaN,1,2,1,1,1,2,1
99,690,1,2,2,0,NaN,3,1
100,1185,1,2,2,1,0,2,1
101,860,1,2,2,1,1,1,1
102,1381,1,2,2,0,NaN,3,1
103,1133,1,2,2,0,0,2,1
104,NaN,1,2,1,0,NaN,3,1
105,NaN,1,2,1,0,0,1,1
106,1066,1,2,2,1,1,1,1
107,836,1,2,2,0,NaN,3,1
108,743,1,2,2,0,0,2,1
109,811,1,2,2,1,NaN,3,1
110,981,1,2,2,1,1,1,1
111,784,1,2,2,0,0,2,1
112,509,1,2,2,0,NaN,3,1
113,847,1,2,2,0,0,2,1
114,NaN,1,2,1,0,0,1,1
115,616,1,2,2,1,NaN,3,1
116,NaN,1,2,1,1,1,2,1
117,628,1,2,2,0,1,1,1
118,549,1,2,2,0,0,2,1
119,NaN,1,2,1,0,0,1,1
120,564,1,2,2,1,NaN,3,1
1,NaN,1,3,1,0,1,2,1
2,NaN,1,3,1,1,NaN,3,1
3,NaN,1,3,1,0,0,1,1
4,NaN,1,3,1,0,0,1,1
5,NaN,1,3,1,0,1,2,1
6,NaN,1,3,1,1,NaN,3,1
7,NaN,1,3,1,1,0,1,1
8,NaN,1,3,1,0,NaN,3,1
9,NaN,1,3,1,1,1,2,1
10,NaN,1,3,1,1,1,2,1
11,NaN,1,3,1,0,0,1,1
12,NaN,1,3,1,1,NaN,3,1
13,NaN,1,3,1,1,NaN,3,1
14,NaN,1,3,1,1,1,2,1
15,NaN,1,3,1,0,0,1,1
16,NaN,1,3,1,0,1,2,1
17,NaN,1,3,1,0,NaN,3,1
18,NaN,1,3,1,0,0,1,1
19,NaN,1,3,1,0,0,1,1
20,NaN,1,3,1,0,1,2,1
21,NaN,1,3,1,0,NaN,3,1
22,NaN,1,3,1,1,NaN,3,1
23,NaN,1,3,1,1,1,2,1
24,NaN,1,3,1,0,0,1,1
25,NaN,1,3,1,1,NaN,3,1
26,NaN,1,3,1,0,0,1,1
27,NaN,1,3,1,1,1,2,1
28,NaN,1,3,1,1,NaN,3,1
29,NaN,1,3,1,0,1,2,1
30,NaN,1,3,1,0,0,1,1
31,NaN,1,3,1,0,0,1,1
32,306,1,3,2,1,0,2,1
33,284,1,3,2,0,NaN,3,1
34,211,1,3,2,0,0,2,1
35,189,1,3,2,1,1,1,1
36,3,1,3,2,0,NaN,3,1
37,31,1,3,2,0,0,2,1
38,207,1,3,2,0,NaN,3,1
39,251,1,3,2,1,1,1,1
40,178,1,3,2,0,0,2,1
41,225,1,3,2,1,1,1,1
42,148,1,3,2,1,NaN,3,1
43,233,1,3,2,0,0,2,1
44,205,1,3,2,1,NaN,3,1
45,189,1,3,2,1,1,1,1
46,230,1,3,2,0,0,2,1
47,1036,1,3,2,0,NaN,3,1
48,464,1,3,2,1,1,1,1
49,477,1,3,2,0,0,2,1
50,423,1,3,2,1,NaN,3,1
51,NaN,1,3,1,0,0,1,1
52,340,1,3,2,1,1,1,1
53,313,1,3,2,0,0,2,1
54,257,1,3,2,0,NaN,3,1
55,213,1,3,2,1,1,1,1
56,241,1,3,2,1,0,2,1
57,246,1,3,2,1,NaN,3,1
58,233,1,3,2,1,0,2,1
59,237,1,3,2,0,1,1,1
60,226,1,3,2,1,NaN,3,1
61,436,1,3,2,0,1,1,1
62,241,1,3,2,0,NaN,3,1
63,245,1,3,2,1,0,2,1
64,130,1,3,2,0,0,2,1
65,168,1,3,2,0,1,1,1
66,407,1,3,2,1,NaN,3,1
67,299,1,3,2,1,NaN,3,1
68,379,1,3,2,1,1,1,1
69,256,1,3,2,0,0,2,1
70,396,1,3,2,1,NaN,3,1
71,273,1,3,2,1,1,1,1
72,343,1,3,2,0,0,2,1
73,320,1,3,2,0,0,2,1
74,316,1,3,2,1,1,1,1
75,314,1,3,2,1,NaN,3,1
76,278,1,3,2,1,NaN,3,1
77,277,1,3,2,0,0,2,1
78,315,1,3,2,1,1,1,1
79,293,1,3,2,1,1,1,1
80,293,1,3,2,0,0,2,1
81,304,1,3,2,1,NaN,3,1
82,368,1,3,2,0,0,2,1
83,299,1,3,2,1,NaN,3,1
84,431,1,3,2,1,1,1,1
85,295,1,3,2,1,1,1,1
86,270,1,3,2,0,NaN,3,1
87,283,1,3,2,0,0,2,1
88,306,1,3,2,1,1,1,1
89,291,1,3,2,0,0,2,1
90,281,1,3,2,1,NaN,3,1
