sub,t,s,a,acc,r,rt,cond,block
1,142,5,1,1,1,NaN,2,2
1,143,4,2,1,0,787,2,2
1,144,6,2,NaN,0,676,2,2
1,145,5,1,1,1,NaN,2,2
1,146,4,2,1,0,873,2,2
1,147,6,2,NaN,1,763,2,2
1,148,4,2,1,1,1115,2,2
1,149,5,1,1,1,NaN,2,2
1,150,6,2,NaN,1,683,2,2
1,151,4,2,1,1,1043,2,2
1,152,6,2,NaN,0,793,2,2
1,153,5,1,1,1,NaN,2,2
1,154,6,2,NaN,1,841,2,2
1,155,5,1,1,1,NaN,2,2
1,156,4,2,1,1,820,2,2
1,157,6,2,NaN,1,544,2,2
1,158,5,1,1,1,NaN,2,2
1,159,4,2,1,0,850,2,2
1,160,4,1,0,0,NaN,2,2
1,161,5,1,1,1,NaN,2,2
1,162,6,2,NaN,1,618,2,2
1,163,5,1,1,1,NaN,2,2
1,164,4,2,1,1,801,2,2
1,165,6,2,NaN,0,593,2,2
1,166,4,2,1,1,756,2,2
1,167,5,1,1,0,NaN,2,2
1,168,6,2,NaN,1,581,2,2
1,169,6,2,NaN,1,679,2,2
1,170,5,1,1,0,NaN,2,2
1,171,4,2,1,0,882,2,2
1,172,4,2,1,1,1240,2,2
1,173,6,2,NaN,1,758,2,2
1,174,5,1,1,1,NaN,2,2
1,175,6,2,NaN,1,643,2,2
1,176,4,2,1,1,622,2,2
1,177,5,1,1,0,NaN,2,2
1,178,6,2,NaN,1,723,2,2
1,179,4,2,1,1,680,2,2
1,180,5,1,1,0,NaN,2,2
1,181,5,1,1,1,NaN,2,2
1,182,4,2,1,1,691,2,2
1,183,6,2,NaN,1,492,2,2
1,184,5,1,1,0,NaN,2,2
1,185,6,2,NaN,1,752,2,2
1,186,4,2,1,0,626,2,2
1,187,6,2,NaN,1,913,2,2
1,188,5,1,1,1,NaN,2,2
1,189,4,2,1,0,851,2,2
1,190,6,2,NaN,1,784,2,2
1,191,5,2,0,0,817,2,2
1,192,4,2,1,0,1047,2,2
1,193,4,2,1,1,1166,2,2
1,194,6,2,NaN,1,958,2,2
1,195,5,1,1,1,NaN,2,2
1,196,6,2,NaN,0,711,2,2
1,197,5,1,1,1,NaN,2,2
1,198,4,2,1,1,732,2,2
1,199,4,2,1,1,863,2,2
1,200,6,2,NaN,1,565,2,2
1,201,5,1,1,1,NaN,2,2
1,202,6,1,NaN,1,NaN,2,2
1,203,5,1,1,1,NaN,2,2
1,204,4,2,1,0,794,2,2
1,205,6,2,NaN,1,804,2,2
1,206,4,2,1,1,855,2,2
1,207,5,1,1,1,NaN,2,2
1,208,4,1,0,0,NaN,2,2
1,209,5,1,1,0,NaN,2,2
1,210,6,2,NaN,1,627,2,2
1,211,4,2,1,0,611,2,2
1,212,6,2,NaN,1,735,2,2
1,213,5,1,1,0,NaN,2,2
1,214,5,1,1,1,NaN,2,2
1,215,4,2,1,0,560,2,2
1,216,6,2,NaN,1,677,2,2
1,217,4,2,1,0,1084,2,2
1,218,6,2,NaN,0,537,2,2
1,219,5,1,1,1,NaN,2,2
1,220,6,2,NaN,1,734,2,2
1,221,4,2,1,1,791,2,2
1,222,5,1,1,1,NaN,2,2
1,223,4,1,0,0,NaN,2,2
1,224,5,1,1,1,NaN,2,2
1,225,6,2,NaN,1,733,2,2
1,226,4,2,1,1,812,2,2
1,227,6,2,NaN,1,570,2,2
