sub,t,s,a,acc,r,rt,cond,block
29,89,5,2,0,0,402,2,1
29,90,6,1,0,0,NaN,2,1
29,91,4,1,0,0,NaN,2,1
29,92,6,2,1,0,1265,2,1
29,93,5,2,0,0,1344,2,1
29,94,4,2,1,0,1757,2,1
29,95,6,2,1,1,1249,2,1
29,96,5,2,0,0,1527,2,1
29,97,4,2,1,1,1473,2,1
29,98,6,2,1,1,1452,2,1
29,99,5,1,1,1,NaN,2,1
29,100,6,2,1,1,629,2,1
29,101,4,1,0,0,NaN,2,1
29,102,5,2,0,1,635,2,1
29,103,5,2,0,1,1666,2,1
29,104,4,2,1,1,1182,2,1
29,105,6,2,1,1,1450,2,1
29,106,6,2,1,0,1580,2,1
29,107,5,2,0,1,1033,2,1
29,108,4,2,1,1,1166,2,1
29,109,4,2,1,1,810,2,1
29,110,5,2,0,1,637,2,1
29,111,6,2,1,0,620,2,1
29,112,5,2,0,1,593,2,1
29,113,4,2,1,1,936,2,1
29,114,6,2,1,0,1083,2,1
29,115,6,2,1,0,599,2,1
29,116,4,2,1,1,841,2,1
29,117,5,2,0,0,329,2,1
29,118,4,2,1,1,671,2,1
29,119,5,2,0,1,483,2,1
29,120,6,1,0,0,NaN,2,1
29,121,2,2,0,0,814,1,2
29,122,1,2,1,1,320,1,2
29,123,3,2,NaN,1,667,1,2
29,124,2,1,1,1,NaN,1,2
29,125,1,2,1,1,564,1,2
29,126,3,2,NaN,0,645,1,2
29,127,1,2,1,1,514,1,2
29,128,3,2,NaN,1,751,1,2
29,129,2,1,1,1,NaN,1,2
29,130,2,1,1,1,NaN,1,2
29,131,1,2,1,1,677,1,2
29,132,3,1,NaN,1,NaN,1,2
29,133,2,2,0,1,414,1,2
29,134,1,2,1,1,577,1,2
29,135,3,2,NaN,0,546,1,2
29,136,2,2,0,0,499,1,2
29,137,1,2,1,1,496,1,2
29,138,3,2,NaN,0,659,1,2
29,139,3,1,NaN,1,NaN,1,2
29,140,2,2,0,0,434,1,2
29,141,1,2,1,1,468,1,2
29,142,2,2,0,0,484,1,2
29,143,3,1,NaN,1,NaN,1,2
29,144,1,2,1,1,534,1,2
29,145,3,1,NaN,1,NaN,1,2
29,146,1,2,1,1,389,1,2
29,147,2,1,1,1,NaN,1,2
29,148,1,2,1,1,686,1,2
29,149,3,1,NaN,1,NaN,1,2
29,150,2,2,0,0,416,1,2
29,151,3,2,NaN,1,982,1,2
29,152,2,1,1,1,NaN,1,2
29,153,1,2,1,1,361,1,2
29,154,1,2,1,1,513,1,2
29,155,3,1,NaN,0,NaN,1,2
29,156,2,2,0,0,652,1,2
29,157,3,2,NaN,0,471,1,2
29,158,1,2,1,1,412,1,2
29,159,2,1,1,1,NaN,1,2
29,160,1,2,1,1,1495,1,2
29,161,2,1,1,1,NaN,1,2
29,162,3,1,NaN,0,NaN,1,2
29,163,1,2,1,1,591,1,2
29,164,2,1,1,1,NaN,1,2
29,165,3,1,NaN,0,NaN,1,2
29,166,1,2,1,1,1766,1,2
29,167,3,1,NaN,1,NaN,1,2
29,168,2,1,1,1,NaN,1,2
29,169,1,2,1,1,173,1,2
29,170,3,1,NaN,1,NaN,1,2
29,171,2,2,0,0,1490,1,2
29,172,3,1,NaN,0,NaN,1,2
29,173,1,2,1,1,703,1,2
29,174,2,1,1,1,NaN,1,2
29,175,3,1,NaN,1,NaN,1,2
29,176,2,2,0,0,715,1,2
29,177,1,2,1,1,1099,1,2
29,178,1,2,1,1,823,1,2
29,179,3,1,NaN,1,NaN,1,2
29,180,2,2,0,0,839,1,2
29,181,3,2,NaN,0,850,1,2
29,182,1,2,1,1,805,1,2
29,183,2,2,0,0,1036,1,2
29,184,1,2,1,0,632,1,2
29,185,2,2,0,1,886,1,2
29,186,3,2,NaN,1,849,1,2
29,187,3,2,NaN,0,673,1,2
29,188,1,2,1,1,672,1,2
29,189,2,2,0,0,876,1,2
29,190,3,2,NaN,0,950,1,2
29,191,2,2,0,0,940,1,2
29,192,1,2,1,1,779,1,2
29,193,3,1,NaN,0,NaN,1,2
29,194,1,2,1,0,1082,1,2
29,195,2,2,0,0,734,1,2
29,196,3,1,NaN,1,NaN,1,2
29,197,1,2,1,0,938,1,2
29,198,2,1,1,1,NaN,1,2
29,199,3,1,NaN,1,NaN,1,2
29,200,2,2,0,0,1798,1,2
29,201,1,2,1,0,831,1,2
29,202,2,2,0,0,689,1,2
29,203,3,2,NaN,1,722,1,2
29,204,1,2,1,0,951,1,2
29,205,2,2,0,1,661,1,2
29,206,3,2,NaN,1,683,1,2
29,207,1,2,1,0,501,1,2
29,208,3,2,NaN,0,508,1,2
29,209,2,2,0,1,854,1,2
29,210,1,1,0,0,NaN,1,2
29,211,3,2,NaN,1,1435,1,2
29,212,2,1,1,1,NaN,1,2
29,213,1,1,0,0,NaN,1,2
29,214,1,1,0,0,NaN,1,2
29,215,2,1,1,1,NaN,1,2
29,216,3,1,NaN,1,NaN,1,2
29,217,3,1,NaN,1,NaN,1,2
29,218,2,1,1,1,NaN,1,2
29,219,1,2,1,0,454,1,2
29,220,3,2,NaN,0,560,1,2
29,221,2,2,0,0,408,1,2
29,222,1,2,1,0,456,1,2
29,223,2,1,1,0,NaN,1,2
29,224,3,1,NaN,1,NaN,1,2
29,225,1,1,0,0,NaN,1,2
29,226,2,2,0,1,727,1,2
29,227,1,2,1,0,390,1,2
29,228,3,1,NaN,0,NaN,1,2
29,229,3,2,NaN,1,935,1,2
29,230,1,2,1,1,695,1,2
29,231,2,2,0,1,1453,1,2
29,232,3,1,NaN,0,NaN,1,2
29,233,1,2,1,1,408,1,2
29,234,2,2,0,0,521,1,2
29,235,3,2,NaN,1,490,1,2
29,236,1,2,1,1,617,1,2
29,237,2,2,0,1,1009,1,2
29,238,1,1,0,0,NaN,1,2
29,239,3,1,NaN,0,NaN,1,2
29,240,2,2,0,0,1073,1,2
30,1,6,2,1,1,1136,2,1
30,2,4,2,1,1,648,2,1
30,3,5,2,0,0,731,2,1
30,4,6,2,1,1,707,2,1
30,5,4,2,1,1,570,2,1
30,6,5,1,1,1,NaN,2,1
30,7,5,2,0,0,845,2,1
30,8,6,2,1,1,533,2,1
30,9,4,2,1,1,584,2,1
30,10,6,2,1,0,656,2,1
30,11,5,2,0,0,755,2,1
30,12,4,2,1,1,560,2,1
30,13,6,2,1,0,674,2,1
30,14,5,1,1,1,NaN,2,1
30,15,4,2,1,0,513,2,1
30,16,5,2,0,1,926,2,1
30,17,6,2,1,0,586,2,1
30,18,4,2,1,1,611,2,1
30,19,4,2,1,1,549,2,1
30,20,5,2,0,0,971,2,1
30,21,6,2,1,1,584,2,1
30,22,4,2,1,0,610,2,1
30,23,6,2,1,0,702,2,1
30,24,5,2,0,0,1056,2,1
30,25,5,1,1,1,NaN,2,1
30,26,4,2,1,0,440,2,1
30,27,6,2,1,1,1390,2,1
30,28,6,2,1,1,631,2,1
30,29,4,2,1,0,473,2,1
30,30,5,2,0,0,762,2,1
30,31,6,1,0,1,NaN,2,1
30,32,5,2,0,0,405,2,1
30,33,4,2,1,0,632,2,1
30,34,5,2,0,0,748,2,1
30,35,4,2,1,1,473,2,1
30,36,6,1,0,0,NaN,2,1
30,37,4,2,1,1,1289,2,1
30,38,6,1,0,1,NaN,2,1
30,39,5,1,1,1,NaN,2,1
30,40,6,1,0,0,NaN,2,1
30,41,4,2,1,1,468,2,1
30,42,5,1,1,1,NaN,2,1
30,43,4,2,1,1,525,2,1
30,44,5,1,1,1,NaN,2,1
30,45,6,2,1,1,571,2,1
30,46,4,2,1,1,408,2,1
30,47,6,2,1,1,999,2,1
30,48,5,1,1,1,NaN,2,1
30,49,4,2,1,1,535,2,1
30,50,5,1,1,0,NaN,2,1
30,51,6,2,1,1,590,2,1
30,52,4,2,1,1,822,2,1
30,53,6,1,0,0,NaN,2,1
30,54,5,1,1,1,NaN,2,1
30,55,4,2,1,0,620,2,1
30,56,5,2,0,0,753,2,1
30,57,6,2,1,1,666,2,1
30,58,5,2,0,0,936,2,1
30,59,4,2,1,1,1417,2,1
30,60,6,2,1,1,694,2,1
30,61,4,2,1,1,487,2,1
30,62,6,2,1,1,695,2,1
30,63,5,1,1,1,NaN,2,1
30,64,4,2,1,1,477,2,1
30,65,5,1,1,1,NaN,2,1
30,66,6,2,1,0,983,2,1
30,67,4,2,1,1,1127,2,1
30,68,5,2,0,1,1184,2,1
30,69,6,1,0,0,NaN,2,1
30,70,6,1,0,0,NaN,2,1
30,71,5,1,1,1,NaN,2,1
30,72,4,2,1,1,630,2,1
30,73,5,1,1,1,NaN,2,1
30,74,4,2,1,1,1426,2,1
30,75,6,2,1,0,686,2,1
30,76,6,1,0,0,NaN,2,1
30,77,5,1,1,1,NaN,2,1
30,78,4,2,1,1,388,2,1
30,79,5,1,1,0,NaN,2,1
30,80,4,2,1,1,487,2,1
30,81,6,2,1,1,1462,2,1
30,82,6,2,1,1,799,2,1
30,83,5,2,0,0,762,2,1
30,84,4,2,1,1,402,2,1
30,85,6,2,1,1,1622,2,1
30,86,5,1,1,0,NaN,2,1
30,87,4,2,1,0,928,2,1
30,88,6,1,0,0,NaN,2,1
30,89,4,1,0,0,NaN,2,1
30,90,5,2,0,0,1118,2,1
30,91,6,2,1,1,584,2,1
30,92,5,1,1,1,NaN,2,1
30,93,4,2,1,1,798,2,1
30,94,5,1,1,1,NaN,2,1
30,95,4,2,1,1,702,2,1
30,96,6,1,0,0,NaN,2,1
30,97,4,2,1,1,765,2,1
30,98,5,1,1,0,NaN,2,1
30,99,6,1,0,1,NaN,2,1
30,100,5,2,0,1,637,2,1
30,101,4,2,1,1,426,2,1
30,102,6,2,1,1,545,2,1
30,103,6,2,1,1,1091,2,1
30,104,4,2,1,1,785,2,1
30,105,5,1,1,0,NaN,2,1
30,106,6,2,1,1,471,2,1
30,107,4,2,1,1,651,2,1
30,108,5,1,1,1,NaN,2,1
30,109,4,2,1,1,734,2,1
30,110,6,2,1,1,793,2,1
30,111,5,2,0,0,1270,2,1
30,112,4,2,1,0,572,2,1
30,113,6,2,1,1,1098,2,1
30,114,5,2,0,1,534,2,1
30,115,6,2,1,1,621,2,1
30,116,5,2,0,0,1481,2,1
30,117,4,2,1,1,495,2,1
30,118,6,2,1,0,816,2,1
30,119,5,2,0,1,869,2,1
30,120,4,2,1,1,1539,2,1
30,121,1,2,1,0,924,1,2
30,122,3,2,NaN,0,592,1,2
30,123,2,2,0,1,957,1,2
30,124,1,2,1,1,603,1,2
30,125,2,2,0,0,898,1,2
30,126,3,2,NaN,1,600,1,2
30,127,1,2,1,1,1334,1,2
30,128,2,2,0,0,1134,1,2
30,129,3,2,NaN,1,1144,1,2
30,130,3,2,NaN,1,510,1,2
30,131,1,2,1,1,695,1,2
30,132,2,1,1,1,NaN,1,2
30,133,1,2,1,1,761,1,2
30,134,2,2,0,0,875,1,2
30,135,3,2,NaN,0,541,1,2
30,136,3,2,NaN,1,941,1,2
30,137,1,2,1,1,587,1,2
30,138,2,2,0,0,1011,1,2
30,139,3,2,NaN,1,885,1,2
30,140,1,2,1,1,634,1,2
30,141,2,1,1,0,NaN,1,2
30,142,3,1,NaN,0,NaN,1,2
30,143,2,2,0,0,1117,1,2
30,144,1,2,1,0,460,1,2
30,145,3,2,NaN,1,1130,1,2
30,146,1,2,1,1,773,1,2
30,147,2,2,0,0,969,1,2
30,148,2,1,1,1,NaN,1,2
30,149,3,1,NaN,0,NaN,1,2
30,150,1,2,1,1,461,1,2
30,151,2,2,0,0,862,1,2
30,152,1,1,0,1,NaN,1,2
30,153,3,1,NaN,0,NaN,1,2
30,154,2,2,0,0,1251,1,2
30,155,3,2,NaN,1,829,1,2
30,156,1,2,1,0,616,1,2
30,157,2,2,0,0,982,1,2
30,158,1,2,1,0,1471,1,2
30,159,3,2,NaN,0,559,1,2
30,160,2,2,0,0,1259,1,2
30,161,1,2,1,0,1255,1,2
30,162,3,2,NaN,1,902,1,2
30,163,3,2,NaN,1,491,1,2
30,164,2,2,0,0,578,1,2
30,165,1,2,1,1,1089,1,2
30,166,2,1,1,1,NaN,1,2
30,167,3,2,NaN,0,1407,1,2
30,168,1,2,1,1,1003,1,2
30,169,1,2,1,0,1084,1,2
30,170,3,2,NaN,0,772,1,2
30,171,2,2,0,0,616,1,2
30,172,2,1,1,1,NaN,1,2
30,173,3,2,NaN,0,788,1,2
30,174,1,2,1,1,963,1,2
30,175,1,2,1,1,630,1,2
30,176,2,1,1,1,NaN,1,2
30,177,3,1,NaN,1,NaN,1,2
30,178,3,2,NaN,0,886,1,2
30,179,2,2,0,0,868,1,2
30,180,1,2,1,1,502,1,2
30,181,1,2,1,1,587,1,2
30,182,3,1,NaN,1,NaN,1,2
30,183,2,1,1,1,NaN,1,2
30,184,2,1,1,1,NaN,1,2
30,185,3,1,NaN,1,NaN,1,2
30,186,1,2,1,0,539,1,2
30,187,2,2,0,0,239,1,2
30,188,3,2,NaN,0,497,1,2
30,189,1,2,1,1,414,1,2
30,190,2,2,0,0,460,1,2
30,191,1,2,1,1,480,1,2
30,192,3,2,NaN,0,681,1,2
30,193,3,2,NaN,0,636,1,2
30,194,1,2,1,0,652,1,2
30,195,2,1,1,1,NaN,1,2
30,196,3,2,NaN,1,459,1,2
30,197,2,2,0,0,473,1,2
30,198,1,1,0,1,NaN,1,2
30,199,1,2,1,1,320,1,2
30,200,2,2,0,0,723,1,2
30,201,3,1,NaN,0,NaN,1,2
30,202,2,1,1,0,NaN,1,2
30,203,3,1,NaN,0,NaN,1,2
30,204,1,2,1,1,470,1,2
30,205,2,1,1,0,NaN,1,2
30,206,1,2,1,1,545,1,2
30,207,3,1,NaN,0,NaN,1,2
30,208,2,1,1,1,NaN,1,2
30,209,3,1,NaN,1,NaN,1,2
30,210,1,2,1,1,614,1,2
30,211,3,1,NaN,1,NaN,1,2
30,212,1,2,1,1,524,1,2
30,213,2,1,1,1,NaN,1,2
30,214,3,1,NaN,1,NaN,1,2
30,215,2,2,0,0,1720,1,2
30,216,1,2,1,1,646,1,2
30,217,1,2,1,0,1891,1,2
30,218,3,1,NaN,1,NaN,1,2
30,219,2,1,1,1,NaN,1,2
30,220,2,1,1,1,NaN,1,2
30,221,1,2,1,1,641,1,2
30,222,3,1,NaN,0,NaN,1,2
30,223,1,2,1,1,382,1,2
30,224,3,2,NaN,1,988,1,2
30,225,2,1,1,1,NaN,1,2
30,226,2,1,1,1,NaN,1,2
30,227,1,2,1,0,435,1,2
30,228,3,1,NaN,1,NaN,1,2
30,229,1,2,1,0,508,1,2
30,230,2,2,0,0,545,1,2
30,231,3,1,NaN,1,NaN,1,2
30,232,2,2,0,0,978,1,2
30,233,3,2,NaN,1,1669,1,2
30,234,1,2,1,1,1290,1,2
30,235,1,2,1,1,500,1,2
30,236,3,2,NaN,0,1188,1,2
30,237,2,1,1,0,NaN,1,2
30,238,1,2,1,1,876,1,2
30,239,2,1,1,1,NaN,1,2
30,240,3,1,NaN,1,NaN,1,2
31,1,6,2,1,0,1072,2,1
31,2,4,2,1,0,743,2,1
31,3,5,2,0,1,499,2,1
31,4,6,1,0,0,NaN,2,1
31,5,4,1,0,0,NaN,2,1
31,6,5,2,0,0,748,2,1
31,7,6,2,1,1,820,2,1
31,8,4,1,0,0,NaN,2,1
31,9,5,2,0,1,904,2,1
31,10,4,1,0,0,NaN,2,1
31,11,5,2,0,0,1305,2,1
31,12,6,2,1,1,1046,2,1
31,13,5,2,0,0,882,2,1
31,14,4,2,1,1,998,2,1
31,15,6,2,1,1,1091,2,1
31,16,4,2,1,1,708,2,1
31,17,6,2,1,1,1189,2,1
31,18,5,2,0,0,1095,2,1
31,19,6,2,1,1,756,2,1
31,20,5,2,0,0,866,2,1
31,21,4,2,1,0,614,2,1
31,22,4,2,1,1,806,2,1
31,23,5,1,1,1,NaN,2,1
31,24,6,2,1,1,727,2,1
31,25,4,1,0,1,NaN,2,1
31,26,5,1,1,0,NaN,2,1
31,27,6,2,1,1,879,2,1
31,28,5,2,0,0,884,2,1
31,29,4,2,1,1,645,2,1
31,30,6,2,1,0,1573,2,1
31,31,5,2,0,0,884,2,1
31,32,6,2,1,1,708,2,1
31,33,4,2,1,1,1413,2,1
31,34,6,2,1,1,819,2,1
31,35,5,2,0,0,853,2,1
31,36,4,1,0,0,NaN,2,1
31,37,6,2,1,1,680,2,1
31,38,4,2,1,0,1523,2,1
31,39,5,2,0,0,837,2,1
31,40,6,2,1,1,902,2,1
31,41,4,1,0,0,NaN,2,1
31,42,5,2,0,0,808,2,1
31,43,5,2,0,1,1798,2,1
31,44,4,2,1,1,1828,2,1
31,45,6,2,1,1,1026,2,1
31,46,5,1,1,1,NaN,2,1
31,47,4,2,1,0,906,2,1
31,48,6,2,1,1,806,2,1
31,49,4,1,0,0,NaN,2,1
31,50,5,1,1,1,NaN,2,1
31,51,6,2,1,1,1564,2,1
31,52,5,1,1,1,NaN,2,1
31,53,6,1,0,0,NaN,2,1
31,54,4,2,1,1,845,2,1
31,55,5,2,0,0,1045,2,1
31,56,4,2,1,1,1013,2,1
31,57,6,2,1,1,1877,2,1
31,58,5,2,0,1,981,2,1
31,59,4,2,1,1,786,2,1
31,60,6,2,1,1,819,2,1
31,61,4,1,0,1,NaN,2,1
31,62,5,2,0,0,614,2,1
31,63,6,2,1,1,758,2,1
31,64,5,2,0,1,1077,2,1
31,65,6,1,0,0,NaN,2,1
31,66,4,2,1,1,966,2,1
31,67,5,1,1,1,NaN,2,1
31,68,6,1,0,0,NaN,2,1
31,69,4,2,1,0,463,2,1
31,70,5,2,0,0,916,2,1
31,71,4,2,1,1,789,2,1
31,72,6,1,0,0,NaN,2,1
31,73,5,2,0,0,618,2,1
31,74,4,2,1,0,772,2,1
31,75,6,2,1,1,613,2,1
31,76,4,1,0,0,NaN,2,1
31,77,6,2,1,0,1338,2,1
31,78,5,2,0,0,1108,2,1
31,79,6,2,1,1,948,2,1
31,80,4,2,1,1,804,2,1
31,81,5,2,0,0,802,2,1
31,82,4,2,1,1,548,2,1
31,83,5,2,0,0,821,2,1
31,84,6,2,1,1,627,2,1
31,85,4,2,1,1,740,2,1
31,86,6,2,1,0,739,2,1
31,87,5,2,0,0,724,2,1
31,88,5,2,0,0,583,2,1
31,89,6,2,1,1,644,2,1
31,90,4,1,0,1,NaN,2,1
31,91,5,2,0,0,787,2,1
31,92,4,2,1,1,756,2,1
31,93,6,2,1,1,981,2,1
31,94,6,2,1,0,658,2,1
31,95,5,2,0,0,758,2,1
31,96,4,2,1,1,627,2,1
31,97,6,2,1,1,788,2,1
31,98,5,1,1,0,NaN,2,1
31,99,4,1,0,0,NaN,2,1
31,100,4,2,1,1,780,2,1
31,101,5,1,1,1,NaN,2,1
31,102,6,2,1,1,1431,2,1
31,103,5,1,1,1,NaN,2,1
31,104,6,2,1,0,841,2,1
31,105,4,2,1,1,564,2,1
31,106,6,1,0,1,NaN,2,1
31,107,4,2,1,1,811,2,1
31,108,5,1,1,0,NaN,2,1
31,109,4,2,1,1,487,2,1
31,110,6,1,0,0,NaN,2,1
31,111,5,2,0,1,646,2,1
31,112,5,2,0,0,788,2,1
31,113,6,2,1,0,662,2,1
31,114,4,2,1,1,711,2,1
31,115,5,2,0,0,740,2,1
31,116,6,2,1,1,566,2,1
31,117,4,1,0,0,NaN,2,1
31,118,4,2,1,0,890,2,1
31,119,6,2,1,1,885,2,1
31,120,5,1,1,1,NaN,2,1
31,121,3,2,NaN,0,823,1,2
31,122,2,2,0,1,486,1,2
31,123,1,2,1,1,869,1,2
31,124,1,2,1,1,597,1,2
31,125,2,2,0,0,1092,1,2
31,126,3,1,NaN,1,NaN,1,2
31,127,1,2,1,1,568,1,2
31,128,3,2,NaN,1,1460,1,2
31,129,2,1,1,1,NaN,1,2
31,130,3,2,NaN,0,918,1,2
31,131,1,2,1,1,674,1,2
31,132,2,2,0,0,899,1,2
31,133,3,2,NaN,0,758,1,2
31,134,2,2,0,0,822,1,2
31,135,1,2,1,1,547,1,2
31,136,1,2,1,1,758,1,2
31,137,2,1,1,0,NaN,1,2
31,138,3,2,NaN,0,951,1,2
31,139,2,2,0,0,789,1,2
31,140,1,2,1,1,866,1,2
31,141,3,2,NaN,1,710,1,2
31,142,3,2,NaN,1,582,1,2
31,143,1,2,1,1,660,1,2
31,144,2,2,0,1,706,1,2
31,145,1,1,0,0,NaN,1,2
31,146,2,2,0,0,616,1,2
31,147,3,2,NaN,0,804,1,2
31,148,3,2,NaN,0,834,1,2
31,149,1,2,1,1,804,1,2
31,150,2,2,0,0,994,1,2
31,151,2,2,0,0,820,1,2
31,152,1,2,1,1,726,1,2
31,153,3,2,NaN,1,933,1,2
31,154,1,2,1,1,980,1,2
31,155,3,1,NaN,1,NaN,1,2
31,156,2,1,1,0,NaN,1,2
31,157,2,2,0,0,1932,1,2
31,158,3,2,NaN,1,612,1,2
31,159,1,2,1,1,644,1,2
31,160,1,2,1,1,517,1,2
31,161,2,1,1,1,NaN,1,2
31,162,3,1,NaN,0,NaN,1,2
31,163,1,2,1,1,464,1,2
31,164,3,1,NaN,1,NaN,1,2
31,165,2,1,1,1,NaN,1,2
31,166,3,1,NaN,0,NaN,1,2
31,167,1,2,1,1,1183,1,2
31,168,2,2,0,0,484,1,2
31,169,1,2,1,1,483,1,2
31,170,2,2,0,0,1110,1,2
31,171,3,2,NaN,1,836,1,2
31,172,3,1,NaN,0,NaN,1,2
31,173,2,1,1,1,NaN,1,2
31,174,1,2,1,1,542,1,2
31,175,1,1,0,0,NaN,1,2
31,176,3,2,NaN,1,585,1,2
31,177,2,2,0,0,1955,1,2
31,178,3,2,NaN,0,773,1,2
31,179,1,2,1,1,533,1,2
31,180,2,1,1,1,NaN,1,2
31,181,2,2,0,1,600,1,2
31,182,3,1,NaN,1,NaN,1,2
31,183,1,2,1,1,1337,1,2
31,184,3,2,NaN,0,1029,1,2
31,185,2,1,1,0,NaN,1,2
31,186,1,2,1,1,807,1,2
31,187,1,1,0,0,NaN,1,2
31,188,2,2,0,0,810,1,2
31,189,3,2,NaN,1,867,1,2
31,190,2,2,0,0,899,1,2
31,191,3,2,NaN,1,659,1,2
31,192,1,2,1,0,726,1,2
31,193,3,2,NaN,0,484,1,2
31,194,2,2,0,1,580,1,2
31,195,1,2,1,1,932,1,2
31,196,1,1,0,0,NaN,1,2
31,197,2,2,0,1,835,1,2
31,198,3,2,NaN,1,1395,1,2
31,199,3,1,NaN,1,NaN,1,2
31,200,2,2,0,1,634,1,2
31,201,1,1,0,0,NaN,1,2
31,202,1,2,1,1,775,1,2
31,203,3,2,NaN,1,595,1,2
31,204,2,1,1,1,NaN,1,2
31,205,2,2,0,0,630,1,2
31,206,1,1,0,1,NaN,1,2
31,207,3,1,NaN,1,NaN,1,2
31,208,1,2,1,1,648,1,2
31,209,3,2,NaN,1,675,1,2
31,210,2,2,0,0,757,1,2
31,211,3,2,NaN,0,772,1,2
31,212,1,2,1,1,643,1,2
31,213,2,2,0,0,405,1,2
31,214,1,2,1,1,483,1,2
31,215,3,2,NaN,0,950,1,2
31,216,2,2,0,0,581,1,2
31,217,2,2,0,0,790,1,2
31,218,3,2,NaN,1,532,1,2
31,219,1,2,1,0,821,1,2
31,220,2,2,0,0,803,1,2
31,221,1,2,1,0,1267,1,2
31,222,3,2,NaN,0,709,1,2
31,223,1,2,1,1,581,1,2
31,224,2,2,0,0,1027,1,2
31,225,3,2,NaN,0,900,1,2
31,226,1,2,1,1,691,1,2
31,227,2,2,0,0,980,1,2
31,228,3,2,NaN,0,470,1,2
31,229,2,2,0,0,675,1,2
31,230,1,2,1,0,547,1,2
31,231,3,2,NaN,0,518,1,2
31,232,3,2,NaN,0,676,1,2
31,233,2,2,0,0,532,1,2
31,234,1,1,0,0,NaN,1,2
31,235,2,1,1,0,NaN,1,2
31,236,3,2,NaN,1,779,1,2
31,237,1,2,1,1,452,1,2
31,238,3,2,NaN,1,709,1,2
31,239,2,2,0,0,598,1,2
31,240,1,1,0,0,NaN,1,2
32,1,6,2,1,1,1102,2,1
32,2,5,2,0,0,706,2,1
32,3,4,2,1,1,860,2,1
32,4,5,2,0,0,1101,2,1
32,5,4,2,1,0,633,2,1
32,6,6,2,1,1,468,2,1
32,7,5,1,1,1,NaN,2,1
32,8,6,2,1,1,433,2,1
32,9,4,2,1,1,1012,2,1
32,10,5,1,1,1,NaN,2,1
32,11,4,2,1,1,573,2,1
32,12,6,2,1,1,651,2,1
32,13,5,2,0,0,756,2,1
32,14,4,2,1,0,660,2,1
32,15,6,2,1,1,882,2,1
32,16,4,1,0,0,NaN,2,1
32,17,5,2,0,0,461,2,1
32,18,6,2,1,1,466,2,1
32,19,5,1,1,1,NaN,2,1
32,20,6,2,1,1,449,2,1
32,21,4,1,0,0,NaN,2,1
32,22,4,2,1,1,879,2,1
32,23,6,2,1,0,500,2,1
32,24,5,2,0,1,852,2,1
32,25,5,2,0,1,564,2,1
32,26,4,2,1,0,605,2,1
32,27,6,2,1,1,602,2,1
32,28,4,1,0,0,NaN,2,1
32,29,6,2,1,1,520,2,1
32,30,5,2,0,0,413,2,1
32,31,4,1,0,0,NaN,2,1
32,32,6,2,1,1,505,2,1
32,33,5,2,0,1,848,2,1
32,34,5,1,1,1,NaN,2,1
32,35,4,1,0,0,NaN,2,1
32,36,6,2,1,1,536,2,1
32,37,5,2,0,0,659,2,1
32,38,4,1,0,0,NaN,2,1
32,39,6,2,1,0,1593,2,1
32,40,6,2,1,1,763,2,1
32,41,5,1,1,1,NaN,2,1
32,42,4,2,1,1,720,2,1
32,43,4,2,1,0,996,2,1
32,44,6,2,1,0,674,2,1
32,45,5,2,0,1,787,2,1
32,46,6,2,1,0,885,2,1
32,47,5,2,0,0,563,2,1
32,48,4,1,0,0,NaN,2,1
32,49,5,2,0,0,372,2,1
32,50,6,2,1,0,651,2,1
32,51,4,1,0,0,NaN,2,1
32,52,6,1,0,0,NaN,2,1
32,53,4,1,0,0,NaN,2,1
32,54,5,1,1,1,NaN,2,1
32,55,5,1,1,1,NaN,2,1
32,56,6,2,1,1,859,2,1
32,57,4,1,0,0,NaN,2,1
32,58,4,1,0,0,NaN,2,1
32,59,6,2,1,0,509,2,1
32,60,5,2,0,0,330,2,1
32,61,5,2,0,1,1079,2,1
32,62,6,1,0,1,NaN,2,1
32,63,4,1,0,0,NaN,2,1
32,64,6,2,1,0,472,2,1
32,65,4,1,0,0,NaN,2,1
32,66,5,2,0,1,356,2,1
32,67,6,1,0,0,NaN,2,1
32,68,5,2,0,0,584,2,1
32,69,4,2,1,0,1010,2,1
32,70,5,1,1,0,NaN,2,1
32,71,4,1,0,1,NaN,2,1
32,72,6,2,1,1,490,2,1
32,73,4,1,0,0,NaN,2,1
32,74,5,2,0,1,431,2,1
32,75,6,2,1,1,948,2,1
32,76,5,1,1,1,NaN,2,1
32,77,6,1,0,0,NaN,2,1
32,78,4,1,0,0,NaN,2,1
32,79,6,2,1,1,862,2,1
32,80,4,1,0,0,NaN,2,1
32,81,5,2,0,1,509,2,1
32,82,5,2,0,0,1281,2,1
32,83,6,2,1,1,418,2,1
32,84,4,2,1,1,947,2,1
32,85,4,2,1,1,573,2,1
32,86,6,2,1,1,725,2,1
32,87,5,1,1,1,NaN,2,1
32,88,6,2,1,0,397,2,1
32,89,4,2,1,1,1083,2,1
32,90,5,1,1,1,NaN,2,1
32,91,6,1,0,0,NaN,2,1
32,92,4,2,1,1,584,2,1
32,93,5,2,0,0,474,2,1
32,94,5,2,0,0,1148,2,1
32,95,4,2,1,1,451,2,1
32,96,6,1,0,0,NaN,2,1
32,97,6,1,0,1,NaN,2,1
32,98,5,2,0,0,675,2,1
32,99,4,1,0,0,NaN,2,1
32,100,4,1,0,0,NaN,2,1
32,101,5,1,1,1,NaN,2,1
32,102,6,2,1,1,443,2,1
